Weather Disasters to affect the U.S. from 1980-2023 (CPI-Adjusted),,,,,,,,,,,,,,,,,,,,,,,
Name,Disaster,Disaster Group,Begin Date,Yb,Mb,Db,End Date,Ye,Me,De,Total CPI-Adjusted Cost (Millions of Dollars),Deaths,Durn (days),Durn (Weeks),Durn (Cal Mos),Central Day,Day of W_yr,MidPt Mo,W_Yr,W_Week,W_Mo,SeasNum,Season
Southern Severe Storms and Flooding (April 1980),Flooding,SevStorm/Flood,4/10/1980,1980,4,10,4/17/1980,1980,4,17,2678.6,7,6,1,1,4/13/1980,104,4,1980,15,4,2,Spring
Hurricane Allen (August 1980),Tropical Cyclone,Tropical Cyclone,8/7/1980,1980,8,7,8/11/1980,1980,8,11,2177.2,13,3,1,1,8/9/1980,222,8,1980,32,8,3,Summer
Central/Eastern Drought/Heat Wave (Summer-Fall 1980),Drought,WF/Drought,6/1/1980,1980,6,1,11/30/1980,1980,11,30,39579,1260,181,26,7,8/31/1980,244,8,1980,35,8,3,Summer
Florida Freeze (January 1981),Freeze,Winter/Freeze,1/12/1981,1981,1,12,1/14/1981,1981,1,14,2019.2,0,1,1,1,1/13/1981,13,1,1981,2,1,1,Winter
"Severe Storms, Flash Floods, Hail, Tornadoes (May 1981)",Severe Storm,SevStorm/Flood,5/5/1981,1981,5,5,5/10/1981,1981,5,10,1372.9,20,4,1,1,5/7/1981,127,5,1981,19,5,2,Spring
"Midwest/Southeast/Northeast Winter Storm, Cold Wave (January 1982)",Winter Storm,Winter/Freeze,1/8/1982,1982,1,8,1/16/1982,1982,1,16,2158.1,85,7,1,1,1/12/1982,12,1,1982,2,1,1,Winter
Midwest/Plains/Southeast Tornadoes (April 1982),Severe Storm,SevStorm/Flood,4/2/1982,1982,4,2,4/4/1982,1982,4,4,1565.6,33,1,1,1,4/3/1982,93,4,1982,14,4,2,Spring
Severe Storms (June 1982),Severe Storm,SevStorm/Flood,5/31/1982,1982,5,31,6/10/1982,1982,6,10,1540.5,30,9,2,1,6/5/1982,156,6,1982,23,6,3,Summer
Gulf States Storms and Flooding (December 1982-January 1983),Flooding,SevStorm/Flood,12/1/1982,1982,12,1,1/15/1983,1983,1,15,4807.9,45,44,7,2,12/23/1982,-8,0,1983,-1,0,1,Winter
Western Storms and Flooding (December 1982-March 1983),Flooding,SevStorm/Flood,12/13/1982,1982,12,13,3/31/1983,1983,3,31,4693.8,50,107,16,4,2/5/1983,36,2,1983,6,2,1,Winter
Hurricane Alicia (August 1983),Tropical Cyclone,Tropical Cyclone,8/17/1983,1983,8,17,8/20/1983,1983,8,20,9180,21,2,1,1,8/18/1983,230,8,1983,33,8,3,Summer
Southeast Drought (Summer 1983),Drought,WF/Drought,6/1/1983,1983,6,1,8/31/1983,1983,8,31,9307.3,0,90,13,3,7/16/1983,197,7,1983,29,7,3,Summer
